City SN,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hobart,75,AU,1584217206,81,-42.88,147.33,11.67,2.6
1,Araripe,100,BR,1584217295,93,-7.21,-40.05,22.97,1.71
2,Ongole,0,IN,1584217295,85,15.5,80.05,23.77,2.64
3,Nikolskoye,97,RU,1584217295,38,59.7,30.79,-3.0,10.0
4,Tuktoyaktuk,90,CA,1584217295,85,69.45,-133.04,-6.0,11.8
5,Kedrovyy,95,RU,1584217295,47,56.17,91.82,3.0,3.0
6,Omsukchan,100,RU,1584217295,97,62.53,155.8,-22.03,0.15
7,Yārāda,20,IN,1584217295,94,17.65,83.27,23.0,1.0
8,Bengkulu,95,ID,1584217296,91,-3.8,102.27,23.67,1.46
9,Hermanus,53,ZA,1584217296,88,-34.42,19.23,18.33,5.99
10,Hilo,90,US,1584217296,83,19.73,-155.09,24.0,1.5
11,Nasīrābād,0,IN,1584217296,39,26.3,74.73,14.57,1.87
12,Butaritari,100,KI,1584217296,70,3.07,172.79,28.67,4.08
13,Kruisfontein,42,ZA,1584217296,93,-34.0,24.73,16.77,3.39
14,Bluff,100,NZ,1584217296,84,-46.6,168.33,12.22,1.34
15,Birao,0,CF,1584217296,14,10.28,22.79,26.27,3.35
16,Yellowknife,75,CA,1584217296,54,62.46,-114.35,-15.0,5.7
17,Gimli,100,CA,1584217297,77,50.63,-96.99,-9.44,2.68
18,Punta Arenas,75,CL,1584217297,58,-53.15,-70.92,15.0,9.3
19,Busselton,98,AU,1584217297,98,-33.65,115.33,18.89,4.52
20,Atuona,12,PF,1584217297,78,-9.8,-139.03,27.47,5.75
21,Vaini,75,TO,1584217297,83,-21.2,-175.2,28.0,6.2
22,Hammerfest,100,NO,1584217297,67,70.66,23.68,-7.0,15.4
23,Pisco,100,PE,1584217046,30,-13.7,-76.22,25.0,5.7
24,Faanui,2,PF,1584217020,77,-16.48,-151.75,28.37,7.04
25,Solnechnyy,18,RU,1584217298,87,50.72,136.63,-16.23,3.01
26,Gladstone,0,AU,1584217298,68,-23.85,151.25,21.0,2.6
27,Vao,100,NC,1584217005,82,-22.67,167.48,28.47,9.56
28,Puerto Triunfo,57,CO,1584217298,82,5.87,-74.64,28.97,0.73
